PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
39/2019;PARTICIPAÇÃO NO EDOC CURITIBA GESTÃO DE INFORMAÇÃO NO CENÁRIO DA TRANSFORMAÇÃO DIGITAL E CASES APERLESS - SERVIDOR ISRAEL GREGÓRIO;;850;REITORIA
40/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFE RENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O C URSO DE AJUSTES FIRMADOS COM FUNDAÇÕES DE APOIO - ASPECTOS JURÍDICOS DO TCU;;2.980,00;REITORIA
41/2019;FORNECIMENTO DE ÁGUA PARA ATENDER O CAMPUS UNIÃO DA VITÓRIA DO IFPR NO EXERCÍCIO DE 2019.;;3.600,00;REITORIA
42/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO EM EVENT O DE CAPACITAÇÃO DOS SERVIDORES ALLAN GONÇALVES BUENO SIAPE N 1665947, LOEIDE DE JESUS BEZERRA BUENO SIAPE N 2108391 E JONATHAN SOUZA CRUZ BARROS SIAPE N 2139097 OCUPANTES DO CARGO EFET IVO DE TÉCNICO DE TECNOLOGIA DA INFORMAÇÃO EM E XERCÍCIO NA DIRETORIA SISTÊMICA DE EDUCAÇÃO A D ISTÂNCIA, PARA PARTICIPAÇÃO NO TREINAMENTO FIRE WALLS COM PFSENSE.;;2.880,00;REITORIA
43/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO EM EVENT O DE CAPACITAÇÃO DOS SERVIDORES ALEX MONTEIRO D O NASCIMENTO E DIOGO LUIZ CECCON, PARA PARTICIPAÇÃO NO SEMINÁRIO NACIONAL CONTRATAÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, QUE SERÁ REALIZADO NOS DIAS 04, 05 E 06 DE NOVEMBRO DE 20 19 NO RIO DE JANEIRO/RJ, COM CARGA HORÁRIA DE 20 HORAS;;7.180,00;REITORIA
45/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E TRATADA DE;;5.000,00;REITORIA
;ESGOTO AO C. JAGUARIAÍVA P ARA O ANO/EXERCÍCIO DE 2019;;;
46/2019;ATENDER DESPESAS COM TAXA DE INSCRIÇÃO DE PARTICIPAÇÃO EM CONFERÊNCIA DE INOVAÇÃO 20 19 PARA CAPACITAÇÃO PROFISSIONAL DE SERVIDORES DA AGÊNCIA DE INOVAÇÃO PROEPPI/IFPR;;330;REITORIA
47/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO CURSO D E COMPLIANCE ANTICORRUPÇÃO CURITIBA + CERTIFICA ÇÃO CPC-A do(a) servidor(a) CARLIANE DE OLIVEIR A CARVALHO;;4.390,00;REITORIA
48/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO EM EVENT O DE CAPACITAÇÃO DOS SERVIDORES MARCOS ANTONIO BARBOSA, SIAPE N 1425991, E NELSON DE CASTRO NETO, SIAPE N 1558825, PARA PARTICIPAÇÃO NO ES UD 2019 - CONGRESSO NACIONAL ENSINO SUPERIOR A DISTÂNCIA E CONGRESSO INTERNACIONAL EDUCAÇÃO SU PERIOR A DISTÂNCIA, QUE SERÁ REALIZADO NOS DIAS 26 A 29 DE NOVEMBRO DE 2019 EM TERESINA/PI, COM;;800;REITORIA
;CARGA HORÁRIA DE 33 HORAS.;;;
49/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFERENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O SEMINÁRIO NACIONAL CONTRATAÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, PARA OS SERVIDORES ROGÉRIO DA COSTA SILVA E LUIZ HENRIQUE BELINA.;;7.180,00;REITORIA
50/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFE RENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O S EMINÁRIO NACIONAL, RISCOS E INTEGRIDADE NO SETOR PÚBLICO, PARA A SERVIDORA LAÍS LEOPOLDO DANTAS;;3.590,00;REITORIA
51/2019;PAGAMENTO DE TAXAS DIVERSAS, VIA GRU, P ARA PEDIDOS RELATIVOS AOS DEPÓSITOS DE PATENTES , REGISTRO DE MARCAS E REGISTRO DE PROGRAMA DE COMPUTADOR DO IFPR JUNTO AO INSTITUTO NACIONAL DE PROPRIEDADE INDUSTRIAL - INPI.;;3.957,00;REITORIA
52/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO PARA O PAGAMENTO DO CURSO DE CONFORTO TÉRMICO DAS E DIFICAÇÕES;;2.990,00;REITORIA
53/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFE RENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O C URSO DE EDIFÍCIOS DE MÚLTIPLOS ANDARES EM AÇO - NBR 8800;;1.510,00;REITORIA
54/2019;PAGAMENTO DE TAXAS DIVERSAS, VIA GRU, P ARA PEDIDOS RELATIVOS AOS DEPÓSITOS DE PATENTES , REGISTRO DE MARCAS E REGISTRO DE PROGRAMA DE COMPUTADOR DO IFPR JUNTO AO INSTITUTO NACIONAL DE PROPRIEDADE INDUSTRIAL - INPI.;;3.957,00;REITORIA
58/2019;AQUISIÇÃO DE LICENÇA DE USO DO SOFTWARE EXPFORM - SISTEMA GERENCIAL ONLINE PARA COMISS ÃO DE ÉTICA NO USO DE ANIMAIS DE EXPERIMENTAÇÃO - SISTEMA CEUA;;30.500,00;REITORIA
59/2019;CONTRATAÇÃO DE PALESTRANTE PARA EVENTO DE CAPACITAÇÃO INTERNA;;8.000,00;REITORIA
62/2019;SERVIÇOS DE CONDOMÍNIO DO EDIFÍCIO ASA, ONDE ESTÁ INSTALADA A PRÓ-REITORIA DE ADMINIST RAÇÃO, REFERENTE AO EXERCÍCIO 2020;;72.000,00;REITORIA
63/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E ESGOTO PARA A UNIDADE REITORIA- EXERC ÍCIO 2020.;;60.000,00;REITORIA
64/2019;CONTRATAÇÃO DE SERVIÇOS DE ÁGUA E ESGOTO PARA O EXERCÍCIO 2020 - DSEAD;;24.000,00;REITORIA
jan/19;Estimativa de despesas para atender o fornecimento de água e tratamento de esgoto para o IFPR - Campus Assis Chateaubriand, exercício 2019;;18.000,00;ASSIS CHATEAUBRIAND
fev/19;Pagamento de taxa de inscrição em evento de capacitação: “Clínica de Atualização de Atletas de Handebol” a ser realizado no período de 21/02/2019 a 24/02/2019, em Campo Mourão/PR.;;250;ASSIS CHATEAUBRIAND
mar/19;Inexigibilidade de licitação para atender despesas com publicação no DOU para o IFPR - Campus Assis Chateaubriand, exercício 2019.;;6.000,00;ASSIS CHATEAUBRIAND
jan/19;Para atender as despesas com água e esgoto no Instituto Federal do Paraná, Campus Campo Largo, no ano de 2019.;;2.500,00;CAMPO LARGO
fev/19;Para atender as despesas com fornecimento de água e tratamento de esgoto do campus Campo Largo no exercício de 2019;;51,63;CAMPO LARGO
mar/19;Para atender as despesas com o fornecimento de água e tratamento de esgoto do Instituto Federal do Paraná - Campus Campo Largo, no exercício de 2020;;25.200,00;CAMPO LARGO
jan/19;Serviço de água e esgoto - Campus Avançado Quedas do Iguaçu - Exercício 2019;;960;CASCAVEL
fev/19;Serviço de água e esgoto - Campus Cascavel - Exercício 2019;;9.600,00;CASCAVEL
mar/19;Publicação de atos oficiais (Imprensa Nacional);;2.000,00;CASCAVEL
abr/19;Serviço de água e esgoto - Campus Cascavel - Exercício 2020;;24.720,00;CASCAVEL
45/2018;Contratação de Serviços de Fornecimento de água tratada e tratamento de esgoto para o Campus Avançado Coronel Vivida -Exercício 2019.;;6.600,00;PALMAS
jul/19;Contratação de Serviços de Fornecimento de água tratada e tratamento de esgoto para o Campus Avançado Coronel Vivida -Exercício 2019 (reforço).;;2.500,00;PALMAS
45/2017;Primeiro Termo Aditivo ao Contrato nº 04/2017 – Palmas, referente à prestação de serviços de telefonia para o período 10/11/2018 a 10/11/2019;;1.138,80;PALMAS
45/2017;Segundo Termo Aditivo ao Contrato nº 04/2017 – Palmas, referente à prestação de serviços de telefonia para o período 10/11/2019 a 10/11/2020;;1.138,80;PALMAS
jul/19;Para atender as despesas com água e esgoto no Instituto Federal do Paraná, Campus Curitiba, no ano de 2020. (publicada em 2019);;60.000,00;CURITIBA
jan/19;Pagamento de taxa de inscrição em evento de capacitação à servidora Fernanda Rubio, para participação no 2º Congresso Sul-Americano de Resíduos Sólidos e Sustentabilidade;;450;FOZ DO IGUAÇU
fev/19;Pagamento de taxa de inscrição em evento de capacitação à servidora Kayla Walquiria Garmus para participação no 2º Congresso Sul-Americano de Resíduos Sólidos e Sustentabilidade;;450;FOZ DO IGUAÇU
mar/19;Contratação de empresa especializada no serviço de fornecimento de água e tratamento de esgoto para atender as necessidades do Campus Foz do Iguaçu durante o exercício 2020.;;36.405,00;FOZ DO IGUAÇU
mar/19;Contratação de serviços de distribuição de água tratada para o Campus Avançado Goioerê;;10.800,00;UMUARAMA
01/2018*;Estimativa de despesa com fornecimento de água e coleta de esgoto para o Campus Irati, no exercício de 2019.;;42.000,00;IRATI
jan/19;Contratação de serviços de publicação na Imprensa Nacional, no Diário Oficial da União, para o exercício 2019.;;4.500,00;JACAREZINHO
fev/19;Contratação de empresa especializada na prestação de serviço de capacitação e treinamento pessoal.;;13.632,00;JACAREZINHO
mar/19;Contratação de empresa especializada na prestação de serviço de agenciamento de palestra para atender a demanda de formação pedagógica.;;5.500,00;JACAREZINHO
abr/19;Contratação de empresa especializada no fornecimento de sensores para manutenção de equipamento, visando atender a demanda do eixo de Controle e Processos Industriais.;;465,89;JACAREZINHO
mai/19;Contratação de serviços de publicação na Imprensa Nacional, no Diário Oficial da União, para o exercício 2020.;;3.000,00;JACAREZINHO
jun/19;Contratação de serviços de fornecimento de água e coleta de esgoto para o exercício 2020.;;18.000,00;JACAREZINHO
jul/19;Manutenção e conservação de elevador Un. Centro;;14.210,40;LONDRINA
ago/19;Serviço de emissão da minuta de escritura de imóvel do Instituto Federal do Paraná - Campus Londrina;;1.037,85;LONDRINA
18/2019;Contratação de serviço de manutenção de máquina de tração e instalação de avisos sonoros de acessibilidade de 01 elevador no edifício Sede do Instituto Federal do Paraná – Campus Londrina;;4.381,46;LONDRINA
jan/19;Fornecimento de água e esgoto - Campus Londrina;;21.000,00;LONDRINA
14/2018;SERVIÇOS DE LIMPEZA DE FOSSA;;2.900,00;PALMAS
43/2018;SERVIÇO DE AGUA E ESGOTO;;66.000,00;PALMAS
mar/19;SERVIÇO DE SELEÇÃO E TREINAMENTO;;450;PALMAS
abr/19;SERVIÇO DE SELEÇÃO E TREINAMENTO;;280;PALMAS
mai/19;SERVIÇO DE SELEÇÃO E TREINAMENTO;;900;PALMAS
26/2016;SERVIÇOS DE TELECOMUNICAÇÕES;;11.752,70;PALMAS
60/2017;MANUTENCAO CORRETIVA/ADAPTATIVA E SUSTENTACAO SOFTWARES;;74.807,18;PALMAS
60/2017;SERVICOS TECNICOS PROFISSIONAIS DE TIC;;4.308,80;PALMAS
42/2018;PUBLICAÇÃO DE MATERIAS OFICIAIS NO DIÁRIO OFICIAL;;36.000,00;PALMAS
jun/19;SERVIÇO DE AGUA E ESGOTO;;15.000,00;PALMAS
ago/19;SERVIÇO DE AGUA E ESGOTO;;72.000,00;PALMAS
21/2019;CONTRATAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ÁGUA E ESGOTO PARA O IFPR – CAMPUS PARANAGUÁ - EXERCÍCIO 2020.;;144.000,00;PARANAGUÁ
03/2018 **;Contratação de Serviços de Agua e Esgoto para o IFPR – Campus Paranavaí – Exercício de 2019;;38,400.00;PARANAVAÍ
jan/19;Aquisição de Licenças de Software de Engenharia – MATLAB;;40,000.03;PARANAVAÍ
fev/19;Contratação de Serviços de Agua e Esgoto para o IFPR – Campus Paranavaí – Exercício de 2019;;3,000.00;PARANAVAÍ
jan/19;Contratação de empresa para fornecimento de água e tratamento de esgoto;;42.000,00;TELÊMACO BORBA
jan/19;Fornecimento de água tratada para o IFPR - Campus Umuarama, exercício 2020.;;24.000,00;UMUARAMA
fev/19;Serviço de publicação no Diário Oficial da União.;;6.000,00;UMUARAMA
