PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
47/2019;"RECARGA DE EXTINTOR DE INCÊNDIO, TIPO P Ó QUÍMICO ABC CAPACIDADE 4 KG, GÁS CARBÔNICO (C O2) 6 KG; ENSAIO HIDROSTÁTICO PARA CILINDRO DE EXTINTOR DE INCÊNDIO E TESTE HIDROSTÁTICO DE MANGUEIRA DE INCÊNDIO TIPO 2, BITOLA 2.1/2"", 15 METROS";;R$ 808,50;REITORIA;
48/2019;CONTRATAÇAÕ DE SEGURO VEICULAR;;R$ 6.791,65;REITORIA;
49/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DESINSETIZAÇÃO, DESRATIZAÇÃO, DESCUPINIZAÇÃO, CONTROLE DE POMBOS E LIMPEZA DE CAIXAS D’ÁGUA;;R$ 9.755,00;REITORIA;
50/2019;CONTRATAÇÃO DE SEGURO PREDIAL PARA O CAMPUS PINHAIS;;R$ 4.891,59;REITORIA;
51/2019;CONTRATAÇÃO DE SEGURO PREDIAL EDIFÍCIO ASA E VILA OFICINAS;;R$ 1.418,71;REITORIA;
52/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MATERIAL DE EXPEDIENTE (PROTETOR RIGIDO PARA CRACHÁ);;R$ 708,48;REITORIA;
53/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE CAPACITAÇÃO EM TIC;;R$ 17.000,00;REITORIA;
54/2019;MANUTENÇÃO CORRETIVA DO GRUPO MOTOR GER ADOR VISANDO CONSERTO DO PROBLEMA COM RADIADOR DO EQUIPAMENTO;;R$ 3.600,00;REITORIA;
55/2019;SERVIÇOS DE ORIENTAÇÃO JURÍDICA EM LICI TAÇÕES E CONTRATOS;;R$ 3.336,00;REITORIA;
56/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA PARA TODAS AS SEDES DA REITORIA - EXERCÍCIO 2020.;;R$ 220.800,00;REITORIA;
57/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LINK DE COMUNICAÇÃO DE DADOS PARA FORNECER LINK REDUNDANTE NA UNIDADE DA VILAS OFICINAS DO IFPR;;R$ 2.398,00;REITORIA;
58/2019;CONTRATAÇÃO DE SEGURO PREDIAL EDIFÍCIO ASA E VILA OFICINAS;;R$ 1.487,83;REITORIA;
59/2019;CONTRATAÇÃO DE SEGURO PREDIAL EDIFÍCIO ASA E VILA OFICINAS;;R$ 1.418,71;REITORIA;
60/2019;CONTRATAÇÃO DE SEGURO PREDIAL EDIFÍCIO ASA E VILA OFICINAS;;R$ 1.323,04;REITORIA;
61/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO/RECARGA DE EXTINTORES E INSPEÇÃO/ENSAIO HIDROSTÁTICO DE MANGUEIRAS DE INCÊNDIO.;;R$ 623,00;REITORIA;
62/2019;CONTRATAÇÃO DE REMANESCENTE PARA A CONSTRUÇÃO DO BLOCO DIDÁTICO E GUARITA - CAMPUS COL OMBO DO IFPR, EM CONSEQUÊNCIA DE RESCISÃO UNILATERAL DO CONTRATO N 61/2018 - IFPR - CAMPUS COLOMBO, FIRMADO COM A EMPRESA KUMER ENGENHARIA E CONSTRUÇÕES EIRELI, ADVINDO DO RDC 04/2018 - IFPR;;R$ 7.290.501,32;REITORIA;
63/2019;CONTRATAÇÃO DE SERVIÇO DE ENERGIA ELÉTRICA PARA O EXERCÍCIO 2019 - DSEAD;;R$ 86.400,00;REITORIA;
64/2019;CONTRATAÇÃO DOS SERVIÇOS PARA A REALIZAÇÃO DE SERVIÇOS GRÁFICOS.;;R$ 3.631,80;REITORIA;
65/2019;"IMPRESSORA TÉRMICA (USB/ETHERNET) CONEX ÕES: USB, ETHERNET E SERIAL; RESOLUÇÃO: 203 DPI; PELO MENOS 8 MB DE MEMÓRIA RAM E 4MB DE MEMÓR IA FLASH; LARGURA DE IMPRESSÃO: ATÉ 104 MM; SISTEMA DE RIBBON: CAPACIDADE DE 1 ROLO; VELOCIDADE MÁXIMA DE IMPRESSÃO: DE PELO MENOS 76 MM/S; MODO DE IMPRESSÃO: TRANSFERÊNCIA TÉRMICA/TÉRMICA DIRETA; RECURSOS ADICIONAIS: CAPACIDADE DE IMPRESSÃO DIRETAMENTE DE ARQUIVOS HTML E PDF; TENSÃO ALIMENTAÇÃO: 110/220 V; ACESSÓRIOS/ITENS ADICIONAIS: MANUAIS EM PORTUGUÊS, SOFTWARE DE GERE";;R$ 14.500,00;REITORIA;
66/2019;O PRESENTE TERMO DE REFERÊNCIA TEM POR OBJETIVO SELECIONAR PESSOA JURÍDICA ESPECIALIZA DA NO FORNECIMENTO DE MOBILIÁRIO DE BIBLIOTECA E EM GERAL, NECESSÁRIOS A ATENDER AS DEMANDAS D A REITORIA DO IFPR.;;R$ 11.653,64;REITORIA;
67/2019;CONTRATAÇÃO DE MANUTENÇÃO CORRETIVA/PREVENTIVA VEICULAR;;R$ 6.539,50;REITORIA;
01/2020;CONTRATAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ENERGIA ELÉTRICA - Campus Pitanga;1;R$ 60.672,00;REITORIA;
02/2020;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO E MANUTENÇÃO DE SANITÁRIO QUÍMICO PARA USO NO ESTACIONAMENTO DO IFPR - CAMPUS CURITIBA;1;R$ 5.520,00;REITORIA;
03/2020;FORNECIMENTO DE ENERGIA ELÉTRICA PARA A TENDER AS NECESSIDADES DO CAMPUS UNIÃO DA VITÓR IA DO IFPR NO EXERCÍCIO DE 2020;1;R$ 102.000,00;REITORIA;
04/2020;COMPRA DE PLACAS PARA SUBSTITUIÇÃO NO PISO ELEVADO.;1;R$ 16.984,00;REITORIA;
05/2020;ESTIMATIVA DE DESPESA COM FORNECIMENTO DE ENERGIA ELÉTRICA PARA O CAMPUS AVANÇADO BARR ACÃO NO EXERCÍCIO DE 2020.;1;R$ 51.000,00;REITORIA;
06/2020;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA AO CAMPUS COLOMBO PARA O ANO/EXERCÍCIO 2020.;1;R$ 36.000,00;REITORIA;
07/2020;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA PARA O C. PINHAIS PARA O AN O/EXERCÍCIO 2020;1;R$ 81.600,00;REITORIA;
08/2020;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA.;1;R$ 72.000,00;REITORIA;
09/2020;COMPRA DE PLACAS DE PISO ELEVADO PARA SUBSTITUIÇÃO NO PISO NO EDIFÍCIO AROEIRA.;1;R$ 13.536,00;REITORIA;
10/2020;ESTIMATIVA DE DESPESA COM FORNECIMENTO DE ENERGIA ELÉTRICA PARA O CAMPUS CAPANEMA NO E XERCÍCIO DE 2020;1;R$ 102.000,00;REITORIA;
11/2020;ÁGUA MINERAL NATURAL, POTÁVEL E NÃO GAS OSA, CONDICIONADA EM GARRAFÃO DE POLICARBON ATO DE 20 (VINTE) LITROS;1;R$ 3.099,00;REITORIA;
12/2020;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO TREINAMENTO TEÓRICO E PRÁTICO PARA POSSIBILITA R A FORMAÇÃO DE BRIGADA DE INCÊNDIO.;1;R$ 2.350,00;REITORIA;
13/2020;AQUISIÇÃO DE PRODUTOS DESTINADOS AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS PARA O RETORNO DAS AULAS DAS UNIDADES DO IFP R E DAS ATIVIDADES ADMINISTRATIVAS, PARA ATENDI MENTO DAS NECESSIDADES DOS CAMPI DO IFPR.;10;R$ 120.768,20;REITORIA;
14/2020;"SERVIÇOS DE CERTIFICAÇÃO DIGITAL E AQUISIÇÃO DE ""TOKENS"" PARA OS SERVIDORES DO CAMPUS UNIÃO DA VITÓRIA - IFPR";4;R$ 2.020,00;REITORIA;
15/2020;CONTRATAÇÃO DE REMANESCENTE DE SERVIÇO PARA O POSTO DE LIMPEZA, CONSERVAÇÃO, HIGIENIZAÇÃO E COPEIRAGEM, EM CONSEQUÊNCIA DE RESCISÃO UNILATERAL DO CONTRATO N 22/2019 IFPR CAMPUS PITANGA, FIRMADO COM A EMPRESA EFATA EMPREENDIMENTOS EIRELI, ADVINDO DO PREGÃO ELETRÔNICO SRP N 23/2019.;1;R$ 42.662,00;REITORIA;
16/2020;Contratação de seguro predial para o Campus Pitanga.;1;R$ 3.639,30;REITORIA;
17/2020;Contratação de seguro predial para o Campus Capanema;1;R$ 3.016,54;REITORIA;
18/2020;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO TREINAMENTO TEÓRICO E PRÁTICO PARA POSSIBILITA R A FORMAÇÃO DE BRIGADA DE INCÊNDIO.;1;R$ 1.760,00;REITORIA;
19/2020;Contratação de pessoa jurídica para prestação de serviços de desinsetização, desratização e limpeza;3;R$ 7.918,00;REITORIA;
20/2020;Contratação de pessoa jurídica (remanescente) para a prestação de serviços contínuos de limpeza,;1;R$ 59.749,35;REITORIA;
21/2020;Contratação de seguro predial para o Campus Jaguariaíva/IFPR.;1;R$ 5.799,78;REITORIA;
22/2020;Serviços de corte e retirada de árvore derrubada, com transporte para recolhimento e descarte;1;R$ 1.200,00;REITORIA;
23/2020;Teste para reunião Grupo de Trabalho Plano de Centralização das UASG.;1;R$ 0,01;REITORIA;
24/2020;Contratação de Empresa Especializada em Seguro Predial. Campus Colombo - IFPR.;1;R$ 1.695,82;REITORIA;
25/2020;Contratação de empresa especializada em prestação de serviços de desinsetização, desratização, contr...;1;R$ 7.400,00;REITORIA;
26/2020;Contratação de empresa especializada para a prestação de serviços de Seguro Predial, para o Campus U...;1;R$ 2.278,97;REITORIA;
27/2020;Contratação de serviços de telefonia móvel pessoal – SMP, tráfego de dados na modalidade;4;R$ 597.600,00;REITORIA;
28/2020;Contratação de manutenção corretiva/preventiva veicular.;1;R$ 4.014,00;REITORIA;
29/2020;Contratação de Seguro Predial.;1;R$ 1.900,81;REITORIA;
30/2020;Contratação de serviços de certificação digital, segundo as normas da ICP-BRASIL ;1;R$ 23.970,00;REITORIA;
31/2020;Contratação de empresa especializada na prestação de serviços de instalação de controle de acesso;2;R$ 3.506,21;REITORIA;
32/2020;MÁSCARA RESPIRATÓRIA PURIFICADOR DE AR - ESPECIFICA PFF2 OU N95 - COVID;1;R$ 347,60;REITORIA;
33/2020;Contratação de seguro veicular.;1;R$ 1.906,17;REITORIA;
34/2020;Contratação de Plataforma Online de Educação à Distância (EaD), com 50 acessos simultâneos e rotativ...;1;R$ 49.950,00;REITORIA;
35/2020;Contratação de empresa para consertar a cobertura/telhado da edificação na Reitoria Vila Oficinas.;1;R$ 24.912,60;REITORIA;
36/2020;Contratação de empresa especializada para prestação de serviços de seguro predial.;1;R$ 2.561,06;REITORIA;
37/2020;A contratação de empresa especializada no planejamento, organização, impressão de material;1;R$ 267.000,00;REITORIA;
38/2020;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE SEGURO VEICULAR;1;R$ 6.791,60;REITORIA;
01/2021;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 24.000,00;COLOMBO;INCLUÍDO
02/2021;ESTIMATIVA DE DESPESA COM FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 96.000,00;IRATI;INCLUÍDO
03/2021;ESTIMATIVA DE DESPESA COM FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 51.600,00;BARRAÇÃO;INCLUÍDO
04/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 198.000,00;REITORIA;INCLUÍDO
05/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 38.400,00;CORONEL VIVIDA;INCLUÍDO
06/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 82.500,00;UNIÃO DA VITÓRIA;INCLUÍDO
07/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 360.000,00;FOZ DO IGUAÇU;INCLUÍDO
08/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 84.000,00;PINHAIS;INCLUÍDO
09/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 108.000,00;EAD;INCLUÍDO
10/2021;CONTRATAÇÃO DE SERVIÇO DE FRETE/ TRANSPORTE DE MOBILIÁRIO DA CIDADE DE UMUARAMA/PR PARA CIDADE DE GOIOERÊ/PR;1;R$ 2.900,00;GOIOERÊ;INCLUÍDO
11/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 288.000,00;PALMAS;INCLUÍDO
12/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 84.000,00;JAGUARIAÍVA;INCLUÍDO
13/2021;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA ;1;R$ 240.000,00;PARANAVAÍ;INCLUÍDO
14/2021;SERVIÇO DE TELEFONIA FIXA;1;R$ 14.988,96;CASCAVEL;INCLUÍDO
15/2021;SERVIÇO DE MONITORAMENTO E TRATAMENTO DE ÁGUA DE POLO ARTESIANO;1;R$ 5.904,00;QUEDAS DO IGUAÇU;INCLUÍDO
16/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ATUALIZAÇÃO DA BRIGADA DE INCÊNDIO DO IFPR CAMPUS IRATI, CONFORME DISPOSIÇÕES DA NORMA DE PROCEDIMENTO TÉCNICO - NPT 017, QUE ESTABELECE AS CONDIÇÕES MÍNIMAS NECESSÁRIAS PARA IMPLANTAÇÃO DE BRIGADA DE INCÊNDIO EM LOCAIS DE TRABALHO;1;R$ 1.200,00;IRATI;INCLUÍDO
17/2021;SERVIÇO DE MUDANÇA UNIDADE ALAGOAS - CAMPUS LONDRINA;1;R$ 16.800,00;LONDRINA;INCLUÍDO
18/2021;CONTRATAÇÃO DE EMPRESA ESPECILIZADA EM MANUTENÇÃO CORRETIVA NOS DOIS CENTROS DE USINAGEM CNC;2;R$ 2.063,40;CAMPO LARGO;INCLUÍDO
19/2021;AQUISIÇÃO DE GARRAFÕES DE ÁGUA MINERAL 20 LITROS;1;R$ 3.995,00;CURITIBA;INCLUÍDO
20/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE CHAVEIRO;1;R$ 175,00;CASCAVEL;INCLUÍDO
21/2021;CONTRAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO E MANUTENÇÃO DE BANHEIROS QUÍMICOS;1;R$ 5.520,00;CURITIBA;INCLUÍDO
22/2021;CONTRATAÇÃO DE SERVIÇOS DE TRANSPORTE RODOVIÁRIOS DE CARGA (150 COMPUTADORES) REFERENTE A DOAÇÃO DE EQUIPAMENTOS DE TI, PELO SETEC/MEC, COM RETIRADA EM BRASÍLIA E ENTREGA EM CURITIBA;1;R$ 9.810,00;REITORIA;INCLUÍDO
23/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS ÁREAS EXTERNAS DO CAMPUS CASCAVEL: ROÇADA COM CARPA DO MATO, CORTE DE GRAMA, MANUTENÇÃO EM CANTEIROS E JARDINS;1;R$ 16.633,52;CASCAVEL;INCLUÍDO
24/2021;CONTRATAÇÃO DE PLACAS DE IDENTIFICAÇÃO PARA ESTACIONAMENTO DA REITORIA DO IFPR;2;R$ 810,00;REITORIA;INCLUÍDO
25/2021;;;;;INCLUÍDO
26/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS ÁREAS EXTERNAS DO CAMPUS QUEDAS DO IGUAÇU: ROÇADA COM CARPA DO MATO, CORTE DE GRAMA, MANUTENÇÃO EM CANTEIROS E JARDINS;1;R$ 16.800,00;QUEDAS DO IGUAÇU;INCLUÍDO
27/2021;DEMANDA DA NECESSIDADE DAS RECARGAS ANUAIS DOS EXTINTORES DE INCÊNDIO DO CAMPUS QUEDAS DO IGUAÇU DE ACORDO COM A NBR 12779:2004;2;R$ 820,00;QUEDAS DO IGUAÇU;INCLUÍDO
28/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE SEGURO PATRIMONIAL;1;R$ 3.348,54;CAMPO LARGO;INCLUÍDO
29/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA MANUTENÇÃO PREVENTIVA E CORRETIVA DE 2 ELEVADORES ;1;R$ 5.940,00;CURITIBA;INCLUÍDO
30/2021;AQUISIÇÃO DE CARIMBOS;7;R$ 474,00;CURITIBA;INCLUÍDO
31/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS RELATIVO A SEGURO PREDIAL;1;R$ 3.542,47;CASCAVEL;INCLUÍDO
32/2021;CONTRATAÇÃO DE SERVIÇO DE CHAVEIRO;12;R$ 1.380,00;CURITIBA;INCLUÍDO
33/2021;CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DO PROCESSO SELETIVO IFPR 2021;1;R$ 377.000,00;REITORIA;INCLUÍDO
34/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE KITS DE ALIMENTOS AOS DISCENTES DO CAMPUS PALMAS, COM RECURSOS ORÇAMENTÁRIOS ORIUNDOS DO PROGRAMA NACIONAL DE ALIMENTOS ESCOLAR - PNAE;1;R$ 15.843,00;REITORIA;INCLUÍDO
35/2021;CONTRATAÇÃO DE SEGURO PREDIAL PARA AS INSTALAÇÕES ;1;R$ 4.276,44;IRATI;INCLUÍDO
36/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MECÂNICA AUTOMOTIVA;1;R$ 3.642,00;EAD;INCLUÍDO
37/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS;1;R$ 15.093,00;FOZ DO IGUAÇU;INCLUÍDO
38/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA RENOVAÇÃO DA APÓLICE DE SEGURO PREDIAL;1;R$ 5.064,88;FOZ DO IGUAÇU;INCLUÍDO
39/2021;SEGURO PREDIAL COM COVERTURA PARA INCÊNDIO, RAIO, EXPLOSÃO, VENDAVAL, DANOS ELÉTRICOS, SUBTRAÇÃO DE BENS, MATERIAIS, EQUIPAMENTOS ELETRÔNICOS E DE LABORATÓRIO, RESPONSABILIDADE CIVIL E QUEBRA DE VIDROS.;1;R$ 2.881,60;CAPANEMA;INCLUÍDO
40/2021;AQUISIÇÃO DE PULVERIZADOR COSTAL;1;R$ 189,44;CURITIBA;INCLUÍDO
41/2021;AQUISIÇÃO DE SACOLAS REFORÇADAS PARA O PNAE;1;R$ 870,00;CURITIBA;INCLUÍDO
42/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO DA AGRICULTURA FAMILIAR PARA EXECUÇÃO DO PNAE;1;R$ 15.906,00;PARANAVAÍ;INCLUÍDO
43/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS ORIUNDOS DA AGRICULTURA FAMILIAR, COM RECURSOS ADVINDOS DO PNAE;1;R$ 30.402,00;FOZ DO IGUAÇU;INCLUÍDO
44/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS ORIUNDOS DA AGRICULTURA FAMILIAR, COM RECURSOS ADVINDOS DO PNAE;1;R$ 8.730,80;GOIOERÊ;INCLUÍDO
45/2021;CONTRATAÇÃO DE PESSOA JURÍDICA PARA REALIZAÇÃO DE RECARGAS E TESTE HIDROSTÁTICO DE EXTINTORES DE INCÊNDIO E TESTES HIDROSTÁTICOS DE MANGUEIRAS DE INCÊNDIO ;6;R$ 1.810,00;IVAIPORÃ;INCLUÍDO
46/2021;AQUISIÇÃO DE KITS DE ALIMENTOS NÃO PERECÍVEIS (ITENS DE MERCADO) DESTINADA AO ATENDIMENTO DO PNAE, NO ÂMBITO DO IFPR, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO TR. ;1;R$ 15.342,36;IRATI;INCLUÍDO
48/2021;AQUISIÇÃO DE ITENS DE CONSUMO PARA MANUTENÇÃO DO IFPR;5;R$ 2.306,18;CASCAVEL;INCLUÍDO
49/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SEGURO DE MÁQUINAS E IMPLEMENTOS AGRÍCOLAS;1;R$ 1.611,62;PALMAS;INCLUÍDO
50/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE EXTINTORES DE PÓ QUÍMICO ABC 4KG E REALIZAÇÃO DAS RECARGAS E TESTES HIDROSTÁTICOS DOS EXTINTORES DE INCÊNDIO ;6;R$ 2.712,34;FOZ DO IGUAÇU;INCLUÍDO
51/2021;AQUISIÇÃO DE MATERIAL PARA MANUTENÇÃO DE INSTALAÇÃO PREDIAL, ALMOXARIFADO DE PRODUTOS QUIMICOS PARA ATENDER A DEMANDA DO IFPR ;1;R$ 118,00;UMUARAMA;INCLUÍDO
52/2021;CONTRATAÇÃO DE EMPRESA PARA MANUTENÇÃO DA CENTAL DE GÁS DO BLOCO 2 COM FORNECIMENTO DOS MATERIAIS PARA ATENDER A DEMANDA DO IFPR;1;R$ 1.077,00;UMUARAMA;INCLUÍDO
53/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS A SEREM ENTREGUES AOS ALUNOS DO IFPR PARA EXECUÇÃO DO PNAE;;;CAPANEMA;INCLUÍDO
54/2021;AQUISIÇÃO DE 1 HD EXTERNO DE 2 TB E 1 MESA DIGITALIZADORA, PARA ATENDIMENTO DE DEMANDAS DISCIPLINA DE MATEMÁTICA DO ENSINO MÉDIO;2;R$ 742,29;CURITIBA;INCLUÍDO
55/2021;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL, PARA ATENDIMENTO AO PNAE;1;R$ 20.319,60;UMUARAMA;INCLUÍDO
56/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE SEGURO PREDIAL ;1;R$ 2.941,48;PITANGA;INCLUÍDO
57/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS A SEREM ENTREGUES AOS ALUNOS DO IFPR PARA EXECUÇÃO DO PNAE;1;R$ 4.321,98;PITANGA;INCLUÍDO
59/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS A SEREM ENTREGUES AOS ALUNOS DO IFPR PARA EXECUÇÃO DO PNAE;1;R$ 22.177,97;CASCAVEL;INCLUÍDO
60/2021;AQUISIÇÃO DE TOTENS DISPLAY PERSONALIZADOS PARA ÁLCOOL EM GEL COM PEDAL CONFORME CONDIÇÕES, QUANTIDADE E EXIGÊNCIAS ESTABELECIDAS.;1;R$ 2.850,00;IVAIPORÃ;INCLUÍDO
61/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE RECARGA DE ÁGUA MINERAL SEM GÁS ÁRA GALÃO DE 20 LITROS ;;cadastrada, sem valor;PALMAS;INCLUÍDO
63/2021;AQUISIÇÃO DE PAPEL A4 120 GRAMAS (BRAILLE);1;R$ 560,00;PARANAVAÍ;INCLUÍDO
64/2021;SEGURO PREDIAL COM COVERTURA PARA INCÊNDIO, RAIO, EXPLOSÃO, VENDAVAL, DANOS ELÉTRICOS, SUBTRAÇÃO DE BENS, MATERIAIS, EQUIPAMENTOS ELETRÔNICOS E DE LABORATÓRIO, RESPONSABILIDADE CIVIL E QUEBRA DE VIDROS.;1;R$ 6.416,09;JAGUARIAÍVA;INCLUÍDO
65/2021;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL, PARA ATENDIMENTO AO PNAE;14;R$ 108.744,00;CURITIBA;INCLUÍDO
66/2021;CONSTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MECÂNICA AUTOMOTIVA;1;R$ 480,00;EAD;INCLUÍDO
67/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS ORIUNDOS DA AGRICULTURA FAMILIAR, COM RECURSOS ADVINDOS DO PNAE;1;R$ 13.236,69;IVAIPORÃ;INCLUÍDO
68/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS ORIUNDOS DA AGRICULTURA FAMILIAR, COM RECURSOS ADVINDOS DO PNAE;1;R$ 8.365,56;CAMPO LARGO;INCLUÍDO
69/2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO PARA TROCA DE COBERTURA DO PÁTIO CENTRAL DO BLOCO ADMINISTRATIVO (PROJETO PADRÃO);1;R$ 62.700,00;QUEDAS DO IGUAÇU;INCLUÍDO
70/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS A SEREM ENTREGUES AOS ALUNOS DO IFPR PARA EXECUÇÃO DO PNAE;1;R$ 4.404,59;CASCAVEL;INCLUÍDO
71/2021;CONTRATAÇÃO DE SERVIÇOS DE SEGURO PREDIAL PRETENDE GARANTIR A SEGURANÇA DO PATRIMÔNIO PÚBLICO A FIM DE RESGUARDAR, POR INTERMÉDIO DE INDENIZAÇÃO, OS POSSÍVEIS DANOS OU PREJUÍZOS, CASO CORRAM.;1;R$ 3.296,73;UNIÃO DA VITÓRIA;INCLUÍDO
72/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS A SEREM ENTREGUES AOS ALUNOS DO IFPR PARA EXECUÇÃO DO PNAE;1;R$ 9.740,50;LONDRINA;INCLUÍDO
73/2021;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR, DESTINADA AO ATENDIMENTO DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR (PNAE), NO ÂMBITO DO IFPR;2;R$ 42.134,40;CAPANEMA;INCLUÍDO
74/2021;RECARGA E MANUTENÇÃO NOS EXTINTORES E MANGUEIRAS DE INCÊNDIO;3;R$ 657,00;PINHAIS;INCLUÍDO
75/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS A SEREM ENTREGUES AOS ALUNOS DO IFPR PARA EXECUÇÃO DO PNAE;1;R$ 4.958,10;ASTORGA;INCLUÍDO
76/2021;AQUISIÇÃO DE KITS DE ALIMENTAÇÃO NÃO PERECÍVEIS A SEREM ENTREGUES AOS ALUNOS DO IFPR PARA EXECUÇÃO DO PNAE;1;R$ 30.201,30;LONDRINA;INCLUÍDO
